"","X","siteswithbooms","probdet","samplenum","duration"
"Sampled_32_Intervals.TempSunMoonBoomDetections.20min.int.csv.csv",1,16,0.695652173913043,32,1200
"Sampled_32_Intervals.TempSunMoonBoomDetections.2min.int.csv.csv",1,14,0.608695652173913,32,120
"Sampled_32_Intervals.TempSunMoonBoomDetections.3min.int.csv.csv",1,16,0.695652173913043,32,180
"Sampled_32_Intervals.TempSunMoonBoomDetections.4min.int.csv.csv",1,15,0.652173913043478,32,240
"Sampled_32_Intervals.TempSunMoonBoomDetections.5min.int.csv.csv",1,15,0.652173913043478,32,300
"Sampled_32_Intervals.TempSunMoonBoomDetections.6min.int.csv.csv",1,16,0.695652173913043,32,360
"Sampled_32_Intervals.TempSunMoonBoomDetections.7min.int.csv.csv",1,16,0.695652173913043,32,420
"Sampled_32_Intervals.TempSunMoonBoomDetections.8min.int.csv.csv",1,16,0.695652173913043,32,480
"Sampled_32_Intervals.TempSunMoonBoomDetections.9min.int.csv.csv",1,12,0.521739130434783,32,540
"Sampled_4_Intervals.TempSunMoonBoomDetections.10min.int.csv.csv",1,10,0.434782608695652,4,600
"Sampled_4_Intervals.TempSunMoonBoomDetections.11min.int.csv.csv",1,7,0.304347826086957,4,660
"Sampled_4_Intervals.TempSunMoonBoomDetections.12min.int.csv.csv",1,7,0.304347826086957,4,720
"Sampled_4_Intervals.TempSunMoonBoomDetections.13min.int.csv.csv",1,10,0.434782608695652,4,780
"Sampled_4_Intervals.TempSunMoonBoomDetections.14min.int.csv.csv",1,10,0.434782608695652,4,840
"Sampled_4_Intervals.TempSunMoonBoomDetections.15min.int.csv.csv",1,9,0.391304347826087,4,900
"Sampled_4_Intervals.TempSunMoonBoomDetections.16min.int.csv.csv",1,9,0.391304347826087,4,960
"Sampled_4_Intervals.TempSunMoonBoomDetections.17min.int.csv.csv",1,12,0.521739130434783,4,1020
"Sampled_4_Intervals.TempSunMoonBoomDetections.18min.int.csv.csv",1,11,0.478260869565217,4,1080
"Sampled_4_Intervals.TempSunMoonBoomDetections.19min.int.csv.csv",1,9,0.391304347826087,4,1140
"Sampled_4_Intervals.TempSunMoonBoomDetections.1hour.int.csv.csv",1,13,0.565217391304348,4,3600
"Sampled_4_Intervals.TempSunMoonBoomDetections.1min.int.csv.csv",1,4,0.173913043478261,4,60
"Sampled_4_Intervals.TempSunMoonBoomDetections.20min.int.csv.csv",1,8,0.347826086956522,4,1200
"Sampled_4_Intervals.TempSunMoonBoomDetections.2min.int.csv.csv",1,2,0.0869565217391304,4,120
"Sampled_4_Intervals.TempSunMoonBoomDetections.3min.int.csv.csv",1,6,0.260869565217391,4,180
"Sampled_4_Intervals.TempSunMoonBoomDetections.4min.int.csv.csv",1,7,0.304347826086957,4,240
"Sampled_4_Intervals.TempSunMoonBoomDetections.5min.int.csv.csv",1,6,0.260869565217391,4,300
"Sampled_4_Intervals.TempSunMoonBoomDetections.6min.int.csv.csv",1,6,0.260869565217391,4,360
"Sampled_4_Intervals.TempSunMoonBoomDetections.7min.int.csv.csv",1,5,0.217391304347826,4,420
"Sampled_4_Intervals.TempSunMoonBoomDetections.8min.int.csv.csv",1,6,0.260869565217391,4,480
"Sampled_4_Intervals.TempSunMoonBoomDetections.9min.int.csv.csv",1,8,0.347826086956522,4,540
"Sampled_8_Intervals.TempSunMoonBoomDetections.10min.int.csv.csv",1,13,0.565217391304348,8,600
"Sampled_8_Intervals.TempSunMoonBoomDetections.11min.int.csv.csv",1,12,0.521739130434783,8,660
"Sampled_8_Intervals.TempSunMoonBoomDetections.12min.int.csv.csv",1,11,0.478260869565217,8,720
"Sampled_8_Intervals.TempSunMoonBoomDetections.13min.int.csv.csv",1,12,0.521739130434783,8,780
"Sampled_8_Intervals.TempSunMoonBoomDetections.14min.int.csv.csv",1,13,0.565217391304348,8,840
"Sampled_8_Intervals.TempSunMoonBoomDetections.15min.int.csv.csv",1,11,0.478260869565217,8,900
"Sampled_8_Intervals.TempSunMoonBoomDetections.16min.int.csv.csv",1,14,0.608695652173913,8,960
"Sampled_8_Intervals.TempSunMoonBoomDetections.17min.int.csv.csv",1,13,0.565217391304348,8,1020
"Sampled_8_Intervals.TempSunMoonBoomDetections.18min.int.csv.csv",1,13,0.565217391304348,8,1080
"Sampled_8_Intervals.TempSunMoonBoomDetections.19min.int.csv.csv",1,15,0.652173913043478,8,1140
"Sampled_8_Intervals.TempSunMoonBoomDetections.1hour.int.csv.csv",1,13,0.565217391304348,8,3600
"Sampled_8_Intervals.TempSunMoonBoomDetections.1min.int.csv.csv",1,5,0.217391304347826,8,60
"Sampled_8_Intervals.TempSunMoonBoomDetections.20min.int.csv.csv",1,14,0.608695652173913,8,1200
"Sampled_8_Intervals.TempSunMoonBoomDetections.2min.int.csv.csv",1,9,0.391304347826087,8,120
"Sampled_8_Intervals.TempSunMoonBoomDetections.3min.int.csv.csv",1,8,0.347826086956522,8,180
"Sampled_8_Intervals.TempSunMoonBoomDetections.4min.int.csv.csv",1,7,0.304347826086957,8,240
"Sampled_8_Intervals.TempSunMoonBoomDetections.5min.int.csv.csv",1,6,0.260869565217391,8,300
"Sampled_8_Intervals.TempSunMoonBoomDetections.6min.int.csv.csv",1,12,0.521739130434783,8,360
"Sampled_8_Intervals.TempSunMoonBoomDetections.7min.int.csv.csv",1,9,0.391304347826087,8,420
"Sampled_8_Intervals.TempSunMoonBoomDetections.8min.int.csv.csv",1,6,0.260869565217391,8,480
"Sampled_8_Intervals.TempSunMoonBoomDetections.9min.int.csv.csv",1,11,0.478260869565217,8,540
